update,step,steps_per_sec,rollout_sec,learn_sec,episodes,mean_x_pos,flag_rate,mean_coins,mean_game_reward,stall_rate,policy_loss,value_loss,entropy,approx_kl,clipfrac,explained_variance,wall_time
36,110592,502.3,3.81,2.31,44,523.3409090909091,0.0,0.4772727272727273,451.5681818181818,0.0,-0.00313,8.68278,1.43038,0.00858,0.06828,0.74131,219.6
37,113664,535.7,3.74,1.99,45,504.06666666666666,0.0,0.7333333333333333,433.97777777777776,0.0,-0.00132,11.18943,1.46875,0.00697,0.05485,0.73748,225.4
38,116736,536.3,3.73,1.99,52,579.5384615384615,0.0,0.5384615384615384,509.21153846153845,0.0,-0.00267,10.69415,1.44714,0.007,0.09652,0.74302,231.1
39,119808,542.3,3.69,1.98,40,580.225,0.0,0.625,510.25,0.0,0.00027,11.15425,1.41833,0.00619,0.0804,0.76109,236.8
40,122880,530.7,3.83,1.96,45,531.1111111111111,0.0,0.4222222222222222,460.73333333333335,0.022222222222222223,-0.0035,6.95349,1.43495,0.00729,0.08382,0.81813,242.5
41,125952,522.0,3.86,2.02,56,435.9642857142857,0.0,0.25,367.98214285714283,0.0,5e-05,12.22631,1.39046,0.00545,0.07357,0.5638,248.4
42,129024,516.0,3.93,2.02,56,458.67857142857144,0.0,0.21428571428571427,391.05357142857144,0.0,-0.00102,11.01532,1.38545,0.00333,0.03215,0.593,254.4
43,132096,525.4,3.85,2.0,55,530.9272727272727,0.0,0.43636363636363634,461.4727272727273,0.0,-0.00235,10.47961,1.4693,0.00565,0.05566,0.57485,260.2
44,135168,539.3,3.72,1.98,50,493.38,0.0,0.2,425.22,0.0,-0.00395,8.94263,1.50155,0.00556,0.06299,0.59261,265.9
45,138240,518.9,3.94,1.98,50,509.4,0.0,0.4,440.06,0.0,-3e-05,8.76326,1.45503,0.00336,0.01107,0.70732,271.9
46,141312,544.2,3.62,2.02,44,550.75,0.0,0.3181818181818182,479.47727272727275,0.0,-0.00407,10.02897,1.41344,0.00583,0.07471,0.66414,277.5
47,144384,530.7,3.74,2.05,38,601.9473684210526,0.0,0.631578947368421,530.6052631578947,0.0,0.00047,7.62492,1.4131,0.0031,0.01855,0.76914,283.3
48,147456,535.2,3.69,2.05,43,491.04651162790697,0.0,0.27906976744186046,422.09302325581393,0.0,-0.00151,8.44453,1.52162,0.00916,0.12655,0.64023,289.0
49,150528,532.1,3.77,2.01,37,564.972972972973,0.0,0.5945945945945946,490.1081081081081,0.0,1e-05,9.6367,1.51927,0.00547,0.04907,0.69187,294.8
50,153600,512.0,3.99,2.01,50,488.14,0.0,0.22,418.08,0.0,-0.00493,6.84092,1.42981,0.00904,0.13517,0.75316,300.8
51,156672,543.5,3.7,1.95,37,597.3243243243244,0.0,0.40540540540540543,523.4594594594595,0.02702702702702703,-0.0037,9.24791,1.41803,0.00479,0.04842,0.74874,306.5
52,159744,560.7,3.52,1.96,32,615.15625,0.0,0.09375,541.71875,0.0,-0.00088,9.31496,1.44992,0.00757,0.08496,0.6095,311.9
53,162816,528.4,3.79,2.02,50,531.78,0.0,0.2,460.46,0.0,-0.00027,10.48452,1.43315,0.00744,0.06226,0.74237,317.8
54,165888,547.0,3.64,1.98,41,615.219512195122,0.0,0.7073170731707317,544.4634146341464,0.0,-0.0022,11.2862,1.36246,0.00591,0.06038,0.71758,323.4
55,168960,543.1,3.67,1.98,32,689.65625,0.0,0.78125,614.0,0.0,-0.00356,11.04127,1.38951,0.00526,0.05249,0.70475,329.0
56,172032,540.5,3.68,2.01,42,684.5952380952381,0.0,0.38095238095238093,611.4761904761905,0.0,-0.00252,12.07663,1.3546,0.00454,0.04264,0.63877,334.7
57,175104,541.7,3.69,1.98,38,579.7368421052631,0.0,0.15789473684210525,508.6842105263158,0.0,-0.00259,11.22873,1.34241,0.00501,0.04574,0.68856,340.4
58,178176,554.3,3.59,1.95,41,561.1463414634146,0.0,0.3170731707317073,489.4146341463415,0.024390243902439025,0.00137,11.54251,1.36478,0.00273,0.0144,0.61444,345.9
59,181248,551.3,3.64,1.93,40,553.8,0.0,0.45,481.8,0.0,-0.00074,9.344,1.37169,0.00403,0.04321,0.61747,351.5
60,184320,548.4,3.64,1.96,38,616.6052631578947,0.0,0.18421052631578946,543.078947368421,0.0,-0.00225,10.21352,1.34003,0.00612,0.0638,0.5192,357.1
61,187392,534.2,3.75,2.0,49,513.7755102040817,0.0,0.3469387755102041,443.6326530612245,0.0,0.00065,12.55297,1.30481,0.00514,0.04468,0.59467,362.9
62,190464,547.7,3.63,1.98,41,564.1463414634146,0.0,0.4878048780487805,493.2926829268293,0.0,-0.00043,10.19964,1.29665,0.00433,0.04338,0.55762,368.5
63,193536,538.4,3.65,2.05,42,615.4761904761905,0.0,0.4523809523809524,543.1428571428571,0.0,0.00024,12.32271,1.26687,0.00801,0.10913,0.66805,374.2
64,196608,536.4,3.77,1.95,44,619.2727272727273,0.0,0.4772727272727273,547.5909090909091,0.0,-0.0015,10.29062,1.2818,0.00842,0.0944,0.69469,379.9
65,199680,538.3,3.75,1.96,53,501.0377358490566,0.0,0.41509433962264153,432.35849056603774,0.0,-0.00058,13.72274,1.2891,0.00308,0.02946,0.61311,385.6
66,202752,527.3,3.88,1.95,50,486.92,0.0,0.2,418.9,0.0,-0.00226,10.62509,1.26063,0.00512,0.04769,0.6565,391.4
67,205824,552.7,3.6,1.96,49,600.0408163265306,0.0,0.3673469387755102,529.0,0.0,-0.00266,15.43185,1.28733,0.00479,0.05835,0.53503,397.1
68,208896,542.7,3.7,1.96,45,551.9333333333333,0.0,0.28888888888888886,481.8666666666667,0.0,-0.00185,8.68723,1.24855,0.00463,0.04997,0.74614,402.7
69,211968,530.3,3.84,1.95,48,569.3541666666666,0.0,0.5416666666666666,499.9375,0.0,-0.00114,16.80094,1.23051,0.00699,0.08,0.56287,408.5
70,215040,536.3,3.76,1.97,48,528.75,0.0,0.20833333333333334,458.0,0.0,-0.00239,11.03587,1.24641,0.00676,0.0839,0.63927,414.3
71,218112,538.2,3.69,2.02,49,488.2244897959184,0.0,0.22448979591836735,419.6326530612245,0.0,-0.00016,12.21859,1.18097,0.00466,0.05721,0.73858,420.0
72,221184,512.0,4.02,1.98,45,636.0222222222222,0.0,0.4888888888888889,564.5777777777778,0.0,-0.00287,13.10841,1.18488,0.00626,0.07552,0.66192,426.0
73,224256,536.7,3.74,1.98,51,537.7843137254902,0.0,0.17647058823529413,469.37254901960785,0.0,-3e-05,17.02843,1.04784,0.00675,0.07072,0.59793,431.7
